GEO.id,GEO.id2,GEO.display-label,GCT_STUB.target-geo-id,GCT_STUB.target-geo-id2,GCT_STUB.display-label,GCT_STUB.display-label,HD01,HD02,SUBHD0301,SUBHD0302,SUBHD0303,SUBHD0401,SUBHD0402
Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic area,Geographic area,Population,Housing units,Area in square miles - Total area,Area in square miles - Water area,Area in square miles - Land area,Density per square mile of land area - Population,Density per square mile of land area - Housing units
0100000US,,United States,0500000US13095,13095,United States - Georgia - Dougherty County,Dougherty County,94565,40801,334.63,5.94,328.69,287.7,124.1
0100000US,,United States,0500000US13097,13097,United States - Georgia - Douglas County,Douglas County,132403,51672,201.03,0.96,200.07,661.8,258.3
0100000US,,United States,0500000US13099,13099,United States - Georgia - Early County,Early County,11008,4975,516.35,3.75,512.59,21.5,9.7
0100000US,,United States,0500000US13101,13101,United States - Georgia - Echols County,Echols County,4034,1558,420.72,5.83,414.89,9.7,3.8
0100000US,,United States,0500000US13103,13103,United States - Georgia - Effingham County,Effingham County,52250,19884,482.93,5.23,477.70,109.4,41.6
0100000US,,United States,0500000US13105,13105,United States - Georgia - Elbert County,Elbert County,20166,9583,374.22,23.16,351.06,57.4,27.3
0100000US,,United States,0500000US13107,13107,United States - Georgia - Emanuel County,Emanuel County,22598,9968,690.18,9.58,680.60,33.2,14.6
0100000US,,United States,0500000US13109,13109,United States - Georgia - Evans County,Evans County,11000,4664,186.87,4.02,182.85,60.2,25.5
0100000US,,United States,0500000US13111,13111,United States - Georgia - Fannin County,Fannin County,23682,16207,391.96,5.24,386.72,61.2,41.9
0100000US,,United States,0500000US13113,13113,United States - Georgia - Fayette County,Fayette County,106567,40793,199.32,4.98,194.34,548.3,209.9
0100000US,,United States,0500000US13115,13115,United States - Georgia - Floyd County,Floyd County,96317,40551,518.47,8.55,509.91,188.9,79.5
0100000US,,United States,0500000US13117,13117,United States - Georgia - Forsyth County,Forsyth County,175511,64052,247.17,23.15,224.02,783.5,285.9
0100000US,,United States,0500000US13119,13119,United States - Georgia - Franklin County,Franklin County,22084,10553,266.45,4.95,261.50,84.5,40.4
